Borough,name,park_id,permit_number,type_name
Queens,Flushing Meadows Corona Park Food Cart,Q099,Q99-2-C,Food Cart
Queens,Flushing Meadows Corona Park Food Cart,Q099,Q99-VB5C,Food Cart
Queens,Flushing Meadows Corona Park Food Cart,Q099,Q99-VBDC,Food Cart
Queens,Flushing Meadows Corona Park Food Cart,Q099,Q99-VBEC,Food Cart
Queens,Flushing Meadows Corona Park Food Cart,Q099,Q99-VBFC,Food Cart
Queens,Pushcart,Q099,Q99-6-AC,Food Cart
Queens,Flushing Meadows Corona Park Mobile Food Truck,Q099,Q99-1-MT,Mobile Food Truck
Queens,Flushing Meadows Corona Park Mobile Food Truck,Q099,Q99-HS-MT,Mobile Food Truck
Queens,Flushing Meadows Corona Park Mobile Food Truck,Q099,Q99-ZMT,Mobile Food Truck
Queens,Flushing Meadows Mobile Food Truck,Q099,Q99-MT,Mobile Food Truck
Queens,Terrace on the Park,Q099,Q99-C-R,Restaurant
Queens,World's Fair Marina Restaurant,Q099,Q99G-R,Restaurant
Queens,Ederle Terrace Snack Bar,Q099,Q99(2)-SB,Snack Bar
Queens,Olmsted Cafeteria,Q099,Q99-J-SB,Snack Bar
Queens,Junction Playground Food Cart,Q122,Q122-C,Food Cart
Queens,Cross Island Mobile Food Truck,Q135,Q135-MT,Mobile Food Truck
Queens,Dredsurfer LLC,Q162,Q162-2-SB,Snack Bar
Queens,Rockaway Beach Snack Bars,Q163,Q163-SB,Snack Bar
Queens,Charles Drew Memorial Park Mobile Ice Cream Truck,Q220C,Q220-MT,Mobile Food Truck
Queens,Kissena Corridor Park Mobile Food Truck,Q300,Q300-MT,Mobile Food Truck
Queens,Travers Park Food Cart,Q303,Q303-C,Food Cart
Queens,Thomas J. Travers Playground Mobile Food Truck,Q303,Q303-MT,Mobile Food Truck
Queens,PS 173 Playground Mobile Food Truck,Q314,Q314-MT,Mobile Food Truck
Queens,Vleigh Place Playground Mobile Food Truck,Q336,Q336-MT,Mobile Food Truck
Queens,Frederick Cabbell Park Mobile Food Truck,Q339,Q339-MT,Mobile Food Truck
Queens,"PAPAZIAN  Q3400006, AKOP",Q340,Q340-MT,Mobile Food Truck
Queens,Gunn Park Mobile Food Truck,Q358,Q358-MT,Mobile Food Truck
Queens,PS 149 Playground Food Cart,Q363,Q363-C,Food Cart
Queens,Louis C. Moser Park Mobile Food Truck,Q366,Q366-MT,Mobile Food Truck
Queens,PS 127 Elmhurst Playground Mobile Food Truck,Q373,Q373-MT,Mobile Food Truck
Queens,Hunter's Point South Snack Bar,Q471,Q471-SB,Snack Bar
Staten Island,Clove Lakes Park Food Cart,R005,R5-3-C,Food Cart
Staten Island,Clove Lakes Park Mobile Food Truck,R005,R5-MT,Mobile Food Truck
Staten Island,The Stone House,R005,"R5-SB,BR,R",Restaurant
Staten Island,Conference House Park Mobile Food Trucks,R006,R6-MT,Mobile Food Truck
Staten Island,Arthur Kill Road Restaurant,R013,R13-R,Restaurant
Staten Island,Owl Hollow Park Mobile Food Truck,R017,R17-MT,Mobile Food Truck
Staten Island,Midland Beach Mobile Food Truck,R046,R46-2-MT,Mobile Food Truck
Staten Island,Midland Beach Mobile Food Truck,R046,R46-3-MT,Mobile Food Truck
Staten Island,Midland Beach Mobile Food Truck,R046,R46-MT,Mobile Food Truck
Staten Island,The Vanderbilt at South Beach,R046,R46-R,Restaurant
Staten Island,PS 52 Mason Playground Mobile Food Truck,R087,R87-MT,Mobile Food Truck
Staten Island,South Shore Country Club,R104,R104-R,Restaurant
Staten Island,Bloomingdale Park Mobile Food Truck,R106,R106-MT,Mobile Food Truck
Staten Island,Bloomingdale Park Mobile Food Truck,R106,R106-2-MT,Mobile Food Truck
Staten Island,Ocean Breeze Snack Bar,R149,R149-SB,Snack Bar
Bronx,River Park Food Cart,X002,X288-C,Food Cart
Bronx,Bronx Park Mobile Food Truck,X002,X2-MT,Mobile Food Truck
Bronx,Tweety's Mobile Food Truck,X008,X8-3MT,Food Cart
Bronx,Claremont Park Mobile Food Truck,X008,X8-(2)MT,Mobile Food Truck
Bronx,Crotona Park Mobile Food Truck,X010,X10-(5)MT,Mobile Food Truck
Bronx,Crotona Park Mobile Food Truck,X010,X10-(8)MT,Mobile Food Truck
Bronx,Crotona Park Mobile Food Truck,X010,X10-(P)MT,Mobile Food Truck
Bronx,Tremont Park Mobile Food Truck,X010A,X10-A-MT,Mobile Food Truck
Bronx,Devoe Park Mobile Food Truck,X013,X13-MT,Mobile Food Truck
Bronx,J Rodman Drake Park Food Cart,X015,X15-C,Food Cart
Bronx,Hugh Grant Circle Food Cart,X025,X25-C,Food Cart
Bronx,Pelham Bay Park Food Cart,X039,X39-1-C,Food Cart
Bronx,Pelham Bay Park Mobile Food Truck,X039,X39(1)-MT,Mobile Food Truck
Bronx,Pelham Bay Park Mobile Food Truck,X039,X39-3-MT,Mobile Food Truck
Bronx,Orchard Beach Snack Bar,X039,X39-C-BW-SB,Snack Bar
Bronx,Wendy's,X058,X58-R,Snack Bar
Bronx,Slattery Playground Mobile Truck,X085,X85-MT,Mobile Food Truck
Bronx,Van Cortlandt Park Food Cart,X092,X92-(11)-C,Food Cart
Bronx,Woodlawn Memorial Mobile Food Truck,X092,X96-MT,Mobile Food Truck
Bronx,Dunkin' Donuts,X101,X101-O-R,Snack Bar
Bronx,Ciccarone Park Mobile Food Truck,X102,X102-MT,Mobile Food Truck
Bronx,People's Park Mobile Food Truck,X103,X103-155-200-217-MT,Mobile Food Truck
Bronx,Williamsbridge Oval Playground Food Cart,X104,X104-C,Food Cart
Bronx,Williamsbridge Oval Park,X104,X104-2-C,Food Cart
Bronx,Sound View Park Mobile Food Truck,X118,X118-2MT,Mobile Food Truck
Bronx,Sound View Park Mobile Food Truck,X118,X118-(4)MT,Mobile Food Truck
Bronx,Soundview Park Mobile Food Trucks,X118,X118-4-MT,Mobile Food Truck
Bronx,Florence Colucci Playground Mobile Food Truck,X122,X122-MT,Mobile Food Truck
Bronx,Watson Park Mobile Truck,X124,X124-2-MT,Mobile Food Truck
Bronx,Watson Park Mobile Food Trucks,X124,X124-MT,Mobile Food Truck
Bronx,P.S. 106 Playground Mobile Food Truck,X160,X160-MT,Mobile Food Truck
Bronx,Haffen Park Mobile Food Truck,X196,X196-MT,Mobile Food Truck
Bronx,Seton Park Mobile Food Truck,X201,X201-MT,Mobile Food Truck
